# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Jun  3 14:56:09 2024
#
# CONSTRAINT:  where (immodeldef =1)
#
# COLUMN plntname:       Planet Name
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN imdelthmag:     Delta mag H-band (planet-host) [mag]
# COLUMN imdelthmagerr:  Delta mag H-band (planet-host) Unc. [mag]
# COLUMN imdelthmaglim:  Delta mag H-band (planet-host) Limit Flag
# COLUMN imdeltjmag:     Delta mag J-band (planet-host) [mag]
# COLUMN imdeltjmagerr:  Delta mag J-band (planet-host) Unc. [mag]
# COLUMN imdeltjmaglim:  Delta mag J-band (planet-host) Limit Flag
# COLUMN imdeltkmag:     Delta mag K-band (planet-host) [mag]
# COLUMN imdeltkmagerr:  Delta mag K-band (planet-host) Unc. [mag]
# COLUMN imdeltkmaglim:  Delta mag K-band (planet-host) Limit Flag
# COLUMN imdeltlpmag:    Delta mag Lp-band (planet-host) [mag]
# COLUMN imdeltlpmagerr: Delta mag Lp-band (planet-host) Unc. [mag]
# COLUMN imdeltlpmaglim: Delta mag Lp-band (planet-host) Limit Flag
# COLUMN imangsep:       Projected separation star-planet [arcsec]
# COLUMN imangseperr1:   Projected separation star-planet Upper Unc. [arcsec]
# COLUMN imangseperr2:   Projected separation star-planet Lower Unc. [arcsec]
# COLUMN imangseplim:    Projected separation star-planet Limit Flag
# COLUMN imsep:          Projected separation star-planet [au]
# COLUMN imseperr1:      Projected separation star-planet Upper Unc. [au]
# COLUMN imseperr2:      Projected separation star-planet Lower Unc. [au]
# COLUMN imseplim:       Projected separation star-planet Limit Flag
# COLUMN imtruesep:      True separation star-planet [au]
# COLUMN imtrueseperr1:  True separation star-planet Upper Unc. [au]
# COLUMN imtrueseperr2:  True separation star-planet Lower Unc. [au]
# COLUMN imtrueseplim:   True separation star-planet Limit Flag
# COLUMN impa:           Position angle star-planet [deg]
# COLUMN impaerr1:       Position angle star-planet Upper Unc. [deg]
# COLUMN impaerr2:       Position angle star-planet Lower Unc. [deg]
# COLUMN impalim:        Position angle star-planet Limit Flag
# COLUMN imdist:         Distance [pc]
# COLUMN imdisterr1:     Distance Upper Unc. [pc]
# COLUMN imdisterr2:     Distance Lower Unc. [pc]
# COLUMN imdistlim:      Distance Limit Flag
# COLUMN imtelescope:    Telescope
# COLUMN iminstrument:   Instrument
# COLUMN imdateobs:      Date Obs [UT]
# COLUMN imcluster:      Cluster or group membership of host
# COLUMN imreflink:      Reference
# COLUMN imdisk:         Circumstellar Disk Detected?
# COLUMN imcorona:       Coronagraph Used?
# COLUMN imifu:          IFU Used?
# COLUMN ns:             Number of Stars
# COLUMN glon:           Galactic Longitude [deg]
# COLUMN glat:           Galactic Latitude [deg]
# COLUMN imjmag:         Stellar Magnitude J-band [mag]
# COLUMN imjmagerr:      Stellar Magnitude J-band Unc. [mag]
# COLUMN imjmaglim:      Stellar Magnitude J-band Limit Flag
# COLUMN imhmag:         Stellar Magnitude H-band [mag]
# COLUMN imhmagerr:      Stellar Magnitude H-band Unc. [mag]
# COLUMN imhmaglim:      Stellar Magnitude H-band Limit Flag
# COLUMN imkmag:         Stellar Magnitude K-band [mag]
# COLUMN imkmagerr:      Stellar Magnitude K-band Unc. [mag]
# COLUMN imkmaglim:      Stellar Magnitude K-band Limit Flag
# COLUMN imlpmag:        Stellar Magnitude Lp-band [mag]
# COLUMN imlpmagerr:     Stellar Magnitude Lp-band Unc. [mag]
# COLUMN imlpmaglim:     Stellar Magnitude Lp-band Limit Flag
# COLUMN implnjmag:      Planet Magnitude J-band [mag]
# COLUMN implnjmagerr:   Planet Magnitude J-band Unc. [mag]
# COLUMN implnjmaglim:   Planet Magnitude J-band Limit Flag
# COLUMN implnhmag:      Planet Magnitude H-band [mag]
# COLUMN implnhmagerr:   Planet Magnitude H-band Unc. [mag]
# COLUMN implnhmaglim:   Planet Magnitude H-band Limit Flag
# COLUMN implnkmag:      Planet Magnitude K-band [mag]
# COLUMN implnkmagerr:   Planet Magnitude K-band Unc. [mag]
# COLUMN implnkmaglim:   Planet Magnitude K-band Limit Flag
# COLUMN implnlpmag:     Planet Magnitude Lp-band [mag]
# COLUMN implnlpmagerr:  Planet Magnitude Lp-band Unc. [mag]
# COLUMN implnlpmaglim:  Planet Magnitude Lp-band Limit Flag
# COLUMN imstype:        Stellar Spectral Type
# COLUMN immass:         Stellar Mass [solar mass]
# COLUMN immasserr1:     Stellar Mass Upper Unc. [solar mass]
# COLUMN immasserr2:     Stellar Mass Lower Unc. [solar mass]
# COLUMN immasslim:      Stellar Mass Limit Flag
# COLUMN image:          Stellar Age [My]
# COLUMN imageerr1:      Stellar Age Upper Unc. [My]
# COLUMN imageerr2:      Stellar Age Lower Unc. [My]
# COLUMN imagelim:       Stellar Age Limit Flag
# COLUMN imlum:          Stellar Luminosity [solar luminosity]
# COLUMN imlumerr1:      Stellar Luminosity Upper Unc. [solar luminosity]
# COLUMN imlumerr2:      Stellar Luminosity Lower Unc. [solar luminosity]
# COLUMN imlumlim:       Stellar Luminosity Limit Flag
# COLUMN implmass:       Planet Mass [Jupiter mass]
# COLUMN implmasserr1:   Planet Mass Upper Unc. [Jupiter mass]
# COLUMN implmasserr2:   Planet Mass Lower Unc. [Jupiter mass]
# COLUMN implmasslim:    Planet Mass Limit Flag
# COLUMN implstype:      Planet Spectral Type
# COLUMN impltemp:       Planet Temperature [K]
# COLUMN impltemperr1:   Planet Temperature Upper Unc. [K]
# COLUMN impltemperr2:   Planet Temperature Lower Unc. [K]
# COLUMN impltemplim:    Planet Temperature Limit Flag
# COLUMN implradius:     Planet Radius [Jupiter radius]
# COLUMN implradiuserr1: Planet Radius Upper Unc. [Jupiter radius]
# COLUMN implradiuserr2: Planet Radius Lower Unc. [Jupiter radius]
# COLUMN implradiuslim:  Planet Radius Limit Flag
# COLUMN immodel:        Model Description
# COLUMN immodeldef:     Default Model
# COLUMN imnotes:        Notes
#
plntname,ra_str,ra,dec_str,dec,imdelthmag,imdelthmagerr,imdelthmaglim,imdeltjmag,imdeltjmagerr,imdeltjmaglim,imdeltkmag,imdeltkmagerr,imdeltkmaglim,imdeltlpmag,imdeltlpmagerr,imdeltlpmaglim,imangsep,imangseperr1,imangseperr2,imangseplim,imsep,imseperr1,imseperr2,imseplim,imtruesep,imtrueseperr1,imtrueseperr2,imtrueseplim,impa,impaerr1,impaerr2,impalim,imdist,imdisterr1,imdisterr2,imdistlim,imtelescope,iminstrument,imdateobs,imcluster,imreflink,imdisk,imcorona,imifu,ns,glon,glat,imjmag,imjmagerr,imjmaglim,imhmag,imhmagerr,imhmaglim,imkmag,imkmagerr,imkmaglim,imlpmag,imlpmagerr,imlpmaglim,implnjmag,implnjmagerr,implnjmaglim,implnhmag,implnhmagerr,implnhmaglim,implnkmag,implnkmagerr,implnkmaglim,implnlpmag,implnlpmagerr,implnlpmaglim,imstype,immass,immasserr1,immasserr2,immasslim,image,imageerr1,imageerr2,imagelim,imlum,imlumerr1,imlumerr2,imlumlim,implmass,implmasserr1,implmasserr2,implmasslim,implstype,impltemp,impltemperr1,impltemperr2,impltemplim,implradius,implradiuserr1,implradiuserr2,implradiuslim,immodel,immodeldef,imnotes
51 Eri b,04:37:36.13,69.4005508,-02:28:24.8,-2.47354817,14.43,0.23,0,1.435000000000e+01,4.040000000000e-01,0,,,,1.162000000000e+01,3.430000000000e-01,0,0.449,0.007,-0.007,0,13.2,0.2,-0.2,0,,,,,,,,,29.4,0.3,-0.3,0,"Gemini:South, Keck:II","GPI, NIRC2","2014-12-18, 2015-01-29, 2015-01-30, 2015-01-31, 2015-02-01",bet Pic,<a href=https://ui.adsabs.harvard.edu/abs/2015Sci...350...64M/abstract target=ref>Macintosh et al. 2015</a>,1,1,1,3,198.61262,-30.6576124,4.74,0.046,0,4.77,0.083,0,4.54,0.03,0,4.54,0.211,0,1.909000000000e+01,4.010000000000e-01,0,19.20,0.21,0,,,,1.616000000000e+01,2.710000000000e-01,0,F0 IV,1.75,0.05,-0.05,0,20,6,-6,0,7.1,1,-1,0,2,,,0,T4.5-T6,675,75,-75,0,1.000000000000e+00,,,0,"Hot-start, Macintosh et al. (2015)",1,"Here, stellar K mag. is in Ks and stellar luminosity is in L/L??."
HIP 65426 b,13:24:36.10,201.1504060,-51:30:16.1,-51.50445940,11.14,0.05,0,1.267000000000e+01,4.000000000000e-01,0,1.001000000000e+01,3.100000000000e-01,0,,,,0.830,0.003,-0.003,0,92.5,3.8,-3.8,0,,,,,150.0,0.3,-0.3,0,111.4,3.8,-3.8,0,VLT:Melipal,SPHERE,"2016-05-30, 2016-06-26, 2017-02-07, 2017-02-09",LCC,<a href=https://ui.adsabs.harvard.edu/abs/2017A&A...605L...9C/abstract target=ref>Chauvin et al. 2017</a>,0,1,1,1,308.17875,11.0291842,6.83,0.019,0,6.85,0.049,0,6.77,0.02,0,,,,1.949000000000e+01,4.000000000000e-01,0,17.99,0.23,0,1.678000000000e+01,3.100000000000e-01,0,,,,A2V,1.96,0.04,-0.04,0,14,4,-4,0,17.3,,,0,7,2.000000000000e+00,-1.000000000000e+00,0,L6&plusmn;1,1500,100,-200,0,1.500000000000e+00,1.000000000000e-01,-1.000000000000e-01,0,"COND03, Baraffe et al. (2003)",1,
USco CTIO 108 b,16:05:54.07,241.4753200,-18:18:44.4,-18.31233200,2.91,0.09,0,3.110000000000e+00,9.000000000000e-02,0,2.600000000000e+00,1.200000000000e-01,0,,,,4.600,0.100,0.100,0,670.0,,,0,,,,,,,,,145.0,2.0,-2.0,0,TNG,NICS,2007-07-16,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2008ApJ...673L.185B/abstract target=ref>Bejar et al. 2008</a>,1,0,0,1,354.46977,24.5388974,13.42,0.090,0,12.84,0.040,0,12.51,0.04,0,,,,1.653000000000e+01,9.000000000000e-02,0,15.75,0.08,0,1.511000000000e+01,1.100000000000e-01,0,,,,M7,0.06,0.02,-0.02,0,6,0,0,0,,,,,14,2.000000000000e+00,-8.000000000000e+00,0,M9.5,2350,100,-400,0,,,,,"Baraffe et al. (2003), Burrows et al. (1997)",1,
2MASS J01225093-2439505 b,01:22:50.94,20.7122430,-24:39:50.7,-24.66404900,6.18,0.04,0,5.800000000000e+00,,-1,5.360000000000e+00,4.000000000000e-02,0,,,,1.450,0.002,-0.002,0,52.0,6.0,-6.0,0,,,,,216.6,0.1,-0.1,0,36.0,4.0,-4.0,0,Keck:II,NIRC2,2013-01-18,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...774...55B/abstract target=ref>Bowler et al. 2013</a>,1,0,0,1,195.44877,-82.5201654,10.02,0.030,0,9.47,0.020,0,9.17,0.03,0,,,,1.681000000000e+01,1.400000000000e-01,0,15.65,0.04,0,1.453000000000e+01,5.000000000000e-02,0,,,,M3.5V,0.40,0.05,-0.05,0,120,10,-10,0,,,,,25,2.000000000000e+00,-2.000000000000e+00,0,L5,,,,,,,,,"Burrows et al. (2001), Spiegel et al. (2011)",1,"The H-band results are shown here. The mass assumes membership in AB Dor. If it is not a member of AB Dor, a younger age of 10-120 Myr is possible and thus a lower mass (12-14 MJup)."
2MASS J22362452+4751425 b,22:36:24.53,339.1022030,+47:51:42.5,47.86182020,9.80,0.40,0,,,,8.200000000000e+00,3.000000000000e-01,0,,,,3.696,0.003,-0.003,0,,,,,,,,,135.3,0.2,-0.2,0,63.0,5.0,-5.0,0,Keck:II,NIRC2,2016-06-27,AB Doradus,<a href=https://ui.adsabs.harvard.edu/abs/2017AJ....153...18B/abstract target=ref>Bowler et al. 2017</a>,0,1,0,1,100.74829,-9.1089056,,,,9.39,0.021,0,9.15,0.02,0,,,,,,,18.58,0.18,0,1.735000000000e+01,4.000000000000e-02,0,,,,K7,0.60,0.05,-0.05,0,120,10,-10,0,,,,,12,1.500000000000e+00,-1.500000000000e+00,0,late L,,,,,,,,,"Baraffe et al. (2003), Chabrier et al. (2000)",1,"Planet and star photometry is presented as the weighted mean of the relative photometry, but the delta mag is for this specific observing date."
Ross 458 c,13:00:41.94,195.1940920,+12:21:14.7,12.37572380,,,,,,,,,,,,,102.000,,,0,1100.0,,,0,,,,,,,,,11.7,0.2,-0.2,0,Magellan:Baade,FIRE,2010-04-03,,<a href=https://ui.adsabs.harvard.edu/abs/2010ApJ...725.1405B/abstract target=ref>Burgasser et al. 2010</a>,0,0,0,2,311.82538,75.0859590,,,,,,,,,,,,,,,,,,,,,,,,,M7.5 Ve,,,,,475,325,-325,0,,,,,9,2.600000000000e+00,-2.600000000000e+00,0,T8,760,70,-45,0,1.250000000000e-01,5.000000000000e-03,-5.000000000000e-03,0,"cloudless, Saumon and Marley (2008)",1,"Spectra were obtained, not broadband images."
kap And b,23:40:24.51,355.1021120,+44:20:02.2,44.33393100,10.64,0.12,0,1.160000000000e+01,2.000000000000e-01,0,1.000000000000e+01,8.000000000000e-02,0,,,,1.058,0.007,-0.007,0,55.0,2.0,-2.0,0,,,,,56.0,0.4,-0.4,0,52.0,,,0,Subaru,HiCIAO,"2012-07-08, 2012-07-09",Columba,<a href=https://ui.adsabs.harvard.edu/abs/2013ApJ...763L..32C/abstract target=ref>Carson et al. 2013</a>,0,1,0,1,109.76586,-16.7143327,4.60,0.300,0,4.60,0.200,0,4.60,0.40,0,,,,1.630000000000e+01,3.000000000000e-01,0,15.20,0.20,0,1.460000000000e+01,4.000000000000e-01,0,,,,B9 IV,2.45,0.05,-0.05,0,30,20,-10,0,,,,,13,2.000000000000e+00,-1.000000000000e+00,0,L5,1680,30,-20,0,,,,,Chabrier et al. (2000),1,
GSC 06214-00210 b,16:21:54.67,245.4777800,-20:43:09.13,-20.71920200,6.21,0.03,0,,,,5.730000000000e+00,3.000000000000e-02,0,4.750000000000e+00,5.000000000000e-02,0,2.206,0.001,-0.001,0,147.0,14.0,-14.0,0,,,,,175.9,0.0,0.0,0,145.0,14.0,-14.0,0,Keck II,NIRC2,2010-04-26,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2011ApJ...726..113I/abstract target=ref>Ireland et al. 2011</a>,0,0,0,1,355.26196,20.1247378,,,,,,,9.15,,0,,,,,,,,,,1.488000000000e+01,,0,,,,M1,0.60,,,0,5,,,0,,,,,14,1.500000000000e+00,-1.500000000000e+00,0,,,,,,,,,,"DUSTY, Chabrier et al. (2000)",1,Different PA and separations are listed for Kp and H observaitons taken on the same night. Here we list the Kp values.
HIP 79098 AB b,16:08:43.72,242.1821750,-23:41:07.5,-23.68541530,,,,,,,,,,,,,2.370,0.011,-0.011,0,346.7,2.5,-2.5,0,,,,,116.5,0.3,-0.3,0,146.3,2.5,-2.5,0,VLT:Yepun,NACO,2004-06-09,Sco OB2/Upper Scorpius (US),<a href=https://ui.adsabs.harvard.edu/abs/2019A&A...626A..99J/abstract target=ref>Janson et al. 2019</a>,0,0,0,2,350.73403,20.3683332,,,,,,,,,,,,,1.583000000000e+01,2.100000000000e-01,0,14.90,0.21,0,1.415000000000e+01,2.100000000000e-01,0,,,,B9,3.75,1.25,-1.25,0,10,3,-3,0,,,,,20,4.500000000000e+00,-4.500000000000e+00,0,,2450,150,-150,0,,,,,"Baraffe et al. (2015), Pecaut and Mamajek (2016)",1,
SR 12 AB c,23:40:24.51,246.8313000,+44:20:02.2,-24.69455300,,,,,,,,,,,,,8.659,0.048,-0.048,0,1100.0,,,0,,,,,,,,,125.0,25.0,-25.0,0,Subaru,IRCS,2005-06-13,rho Ophiuchi,<a href=https://ui.adsabs.harvard.edu/abs/2011AJ....141..119K/abstract target=ref>Kuzuhara et al. 2011</a>,0,0,0,2,352.97994,16.5649924,,,,,,,,,,,,,,,,15.35,0.13,0,,,,1.310000000000e+01,8.000000000000e-02,0,,,,,,2,8,-2,0,,,,,14,7.400000000000e+00,-7.400000000000e+00,0,M9.0,,,,,,,,,This work.,1,
